wins,league,division_id,name,gameID,name_full,code,league_id,teamID,type,losses,file_code,abbrev,name_brief
2,NL,205,Cincinnati,2012/03/06/gid_2012_03_06_cinmlb_seamlb_1/,Cincinnati Reds,cin,104,113,away,1,cin,CIN,Reds
4,AL,200,Seattle,2012/03/06/gid_2012_03_06_cinmlb_seamlb_1/,Seattle Mariners,sea,103,136,home,1,sea,SEA,Mariners
1,NL,205,Chi Cubs,2012/03/06/gid_2012_03_06_colmlb_chnmlb_1/,Chicago Cubs,chn,104,112,home,2,chc,CHC,Cubs
1,NL,203,Colorado,2012/03/06/gid_2012_03_06_colmlb_chnmlb_1/,Colorado Rockies,col,104,115,away,1,col,COL,Rockies
4,AL,202,Detroit,2012/03/06/gid_2012_03_06_detmlb_miamlb_1/,Detroit Tigers,det,103,116,away,0,det,DET,Tigers
1,NL,204,Miami,2012/03/06/gid_2012_03_06_detmlb_miamlb_1/,Miami Marlins,mia,104,146,home,1,mia,MIA,Marlins
1,AL,202,Cleveland,2012/03/06/gid_2012_03_06_kcamlb_clemlb_1/,Cleveland Indians,cle,103,114,home,2,cle,CLE,Indians
3,AL,202,Kansas City,2012/03/06/gid_2012_03_06_kcamlb_clemlb_1/,Kansas City Royals,kca,103,118,away,1,kc,KC,Royals
0,AL,201,Tampa Bay,2012/03/06/gid_2012_03_06_minmlb_tbamlb_1/,Tampa Bay Rays,tba,103,139,home,4,tb,TB,Rays
3,AL,202,Minnesota,2012/03/06/gid_2012_03_06_minmlb_tbamlb_1/,Minnesota Twins,min,103,142,away,2,min,MIN,Twins
2,NL,205,Pittsburgh,2012/03/06/gid_2012_03_06_nyamlb_pitmlb_1/,Pittsburgh Pirates,pit,104,134,home,2,pit,PIT,Pirates
2,AL,201,NY Yankees,2012/03/06/gid_2012_03_06_nyamlb_pitmlb_1/,New York Yankees,nya,103,147,away,2,nyy,NYY,Yankees
3,NL,205,Houston,2012/03/06/gid_2012_03_06_nynmlb_houmlb_1/,Houston Astros,hou,104,117,home,1,hou,HOU,Astros
1,NL,204,NY Mets,2012/03/06/gid_2012_03_06_nynmlb_houmlb_1/,New York Mets,nyn,104,121,away,2,nym,NYM,Mets
4,AL,200,Oakland,2012/03/06/gid_2012_03_06_oakmlb_milmlb_1/,Oakland Athletics,oak,103,133,away,2,oak,OAK,Athletics
1,NL,205,Milwaukee,2012/03/06/gid_2012_03_06_oakmlb_milmlb_1/,Milwaukee Brewers,mil,104,158,home,1,mil,MIL,Brewers
2,AL,201,Toronto,2012/03/06/gid_2012_03_06_phimlb_tormlb_1/,Toronto Blue Jays,tor,103,141,home,2,tor,TOR,Blue Jays
2,NL,204,Philadelphia,2012/03/06/gid_2012_03_06_phimlb_tormlb_1/,Philadelphia Phillies,phi,104,143,away,2,phi,PHI,Phillies
3,AL,202,Kansas City,2012/03/06/gid_2012_03_06_sdnmlb_kcamlb_1/,Kansas City Royals,kca,103,118,home,1,kc,KC,Royals
0,NL,203,San Diego,2012/03/06/gid_2012_03_06_sdnmlb_kcamlb_1/,San Diego Padres,sdn,104,135,away,3,sd,SD,Padres
1,NL,203,LA Dodgers,2012/03/06/gid_2012_03_06_sfnmlb_lanmlb_1/,Los Angeles Dodgers,lan,104,119,home,1,la,LAD,Dodgers
2,NL,203,San Francisco,2012/03/06/gid_2012_03_06_sfnmlb_lanmlb_1/,San Francisco Giants,sfn,104,137,away,2,sf,SF,Giants
1,NL,204,NY Mets,2012/03/06/gid_2012_03_06_slnmlb_nynmlb_1/,New York Mets,nyn,104,121,home,2,nym,NYM,Mets
0,NL,205,St. Louis,2012/03/06/gid_2012_03_06_slnmlb_nynmlb_1/,St. Louis Cardinals,sln,104,138,away,2,stl,STL,Cardinals
1,NL,203,Arizona,2012/03/06/gid_2012_03_06_texmlb_arimlb_1/,Arizona Diamondbacks,ari,104,109,home,3,ari,ARI,D-backs
1,AL,200,Texas,2012/03/06/gid_2012_03_06_texmlb_arimlb_1/,Texas Rangers,tex,103,140,away,2,tex,TEX,Rangers
1,NL,204,Miami,2012/03/06/gid_2012_03_06_umibbc_miamlb_1/,Miami Marlins,mia,104,146,home,0,mia,MIA,Marlins
0,BE,,Univ. of Miami,2012/03/06/gid_2012_03_06_umibbc_miamlb_1/,University of Miami Hurricanes,umi,107,236,away,1,t236,MIA,Hurricanes
2,NL,204,Washington,2012/03/06/gid_2012_03_06_wasmlb_atlmlb_1/,Washington Nationals,was,104,120,away,2,was,WSH,Nationals
1,NL,204,Atlanta,2012/03/06/gid_2012_03_06_wasmlb_atlmlb_1/,Atlanta Braves,atl,104,144,home,3,atl,ATL,Braves
5,AL,,Detroit,2012/03/07/gid_2012_03_07_atlmlb_detmlb_1/,Detroit Tigers,det,103,116,home,0,det,DET,Tigers
1,NL,,Atlanta,2012/03/07/gid_2012_03_07_atlmlb_detmlb_1/,Atlanta Braves,atl,104,144,away,4,atl,ATL,Braves
