on_2b,bases,on_1b,hd_3,hu_3,hu_4,topBottom,hu_2,hd_1,hd_4,on_3b,hu_1,hd_2,inning,hd_00,outs
1,_ 2 3,0,0.800,1.800,1.400,Top,2.100,1.500,0.600,1,2.100,1.200,5,1.900,1
1,_ 2 3,0,1.100,2.000,1.400,Top,2.500,2.100,0.800,1,2.800,1.600,5,2.600,2
1,_ 2 _,0,0.600,1.400,1.100,Top,1.600,1.200,0.400,0,1.700,0.900,5,1.500,0
1,_ 2 _,0,0.700,1.200,0.900,Top,1.500,1.300,0.500,0,1.700,1.000,5,1.600,1
1,_ 2 _,0,0.700,1.000,0.700,Top,1.300,1.300,0.500,0,1.600,1.000,5,1.600,2
0,_ _ 3,0,0.500,1.300,1.100,Top,1.500,1.000,0.300,1,1.500,0.700,5,1.300,0
0,_ _ 3,0,0.800,1.200,0.900,Top,1.500,1.500,0.600,1,1.800,1.100,5,1.800,1
0,_ _ 3,0,0.800,1.100,0.800,Top,1.500,1.500,0.600,1,1.800,1.200,5,1.800,2
0,_ _ _,0,0.500,0.900,0.700,Top,1.100,1.000,0.400,0,1.300,0.700,5,1.200,0
0,_ _ _,0,0.400,0.600,0.500,Top,0.800,0.700,0.300,0,0.900,0.600,5,0.900,1
0,_ _ _,0,0.300,0.400,0.300,Top,0.500,0.500,0.200,0,0.600,0.400,5,0.600,2
1,1 2 3,1,3.500,0.500,0.300,Bottom,0.900,3.100,3.000,1,1.400,3.600,6,2.200,0
