on_2b,bases,on_1b,hd_3,hu_3,hu_4,topBottom,hu_2,hd_1,hd_4,on_3b,hu_1,hd_2,inning,hd_00,outs
1,1 2 3,1,3.800,0.800,0.500,Bottom,1.400,4.000,3.000,1,2.200,4.200,6,3.300,1
1,1 2 3,1,3.700,1.000,0.600,Bottom,1.700,4.900,2.700,1,2.600,4.500,6,4.000,2
1,1 2 _,1,2.700,0.600,0.300,Bottom,0.900,3.000,2.200,0,1.500,3.100,6,2.300,0
1,1 2 _,1,2.600,0.700,0.400,Bottom,1.100,3.300,1.900,0,1.800,3.100,6,2.700,1
1,1 2 _,1,2.000,0.600,0.400,Bottom,1.000,2.900,1.400,0,1.600,2.600,6,2.500,2
0,1 _ 3,1,2.500,0.400,0.200,Bottom,0.700,2.400,2.000,1,1.100,2.700,6,1.700,0
0,1 _ 3,1,2.400,0.700,0.400,Bottom,1.100,3.000,1.800,1,1.700,2.800,6,2.600,1
0,1 _ 3,1,2.100,0.700,0.400,Bottom,1.100,3.100,1.400,1,1.800,2.700,6,2.700,2
0,1 _ _,1,1.900,0.500,0.300,Bottom,0.800,2.400,1.400,0,1.300,2.300,6,2.000,0
0,1 _ _,1,1.500,0.400,0.300,Bottom,0.700,2.100,1.000,0,1.100,1.900,6,1.700,1
0,1 _ _,1,0.900,0.300,0.200,Bottom,0.500,1.500,0.600,0,0.800,1.200,6,1.300,2
1,_ 2 3,0,2.300,0.400,0.200,Bottom,0.700,2.200,1.900,1,1.100,2.400,6,1.700,0
1,_ 2 3,0,2.200,0.500,0.300,Bottom,0.900,2.500,1.700,1,1.400,2.500,6,2.100,1
1,_ 2 3,0,2.400,0.700,0.400,Bottom,1.200,3.500,1.600,1,1.900,3.100,6,2.900,2
1,_ 2 _,0,1.700,0.400,0.200,Bottom,0.700,2.000,1.300,0,1.100,2.000,6,1.600,0
1,_ 2 _,0,1.500,0.500,0.300,Bottom,0.800,2.100,1.100,0,1.200,1.900,6,1.800,1
1,_ 2 _,0,1.200,0.500,0.300,Bottom,0.800,2.000,0.800,0,1.200,1.600,6,1.800,2
0,_ _ 3,0,1.600,0.300,0.200,Bottom,0.500,1.700,1.200,1,0.800,1.800,6,1.300,0
0,_ _ 3,0,1.400,0.500,0.300,Bottom,0.900,2.300,1.000,1,1.400,1.900,6,2.100,1
0,_ _ 3,0,1.300,0.600,0.300,Bottom,0.900,2.400,0.900,1,1.400,1.900,6,2.200,2
0,_ _ _,0,1.100,0.300,0.200,Bottom,0.600,1.600,0.800,0,0.900,1.400,6,1.300,0
0,_ _ _,0,0.800,0.300,0.200,Bottom,0.400,1.200,0.500,0,0.700,1.000,6,1.000,1
0,_ _ _,0,0.400,0.200,0.100,Bottom,0.300,0.800,0.300,0,0.500,0.600,6,0.700,2
1,1 2 3,1,0.800,3.200,2.700,Top,3.400,1.800,0.500,1,3.100,1.200,6,2.500,0
1,1 2 3,1,1.200,3.300,2.600,Top,3.900,2.600,0.800,1,3.900,1.800,6,3.400,1
1,1 2 3,1,1.400,3.200,2.300,Top,4.100,3.100,0.900,1,4.500,2.200,6,4.100,2
1,1 2 _,1,0.800,2.400,1.900,Top,2.800,1.800,0.500,0,2.900,1.300,6,2.500,0
1,1 2 _,1,1.000,2.200,1.600,Top,2.800,2.100,0.600,0,3.100,1.500,6,2.800,1
1,1 2 _,1,0.900,1.700,1.100,Top,2.300,1.900,0.600,0,2.600,1.300,6,2.500,2
0,1 _ 3,1,0.600,2.300,1.800,Top,2.600,1.400,0.400,1,2.400,0.900,6,1.900,0
0,1 _ 3,1,0.900,2.100,1.500,Top,2.500,2.000,0.600,1,2.800,1.400,6,2.600,1
0,1 _ 3,1,1.000,1.800,1.200,Top,2.400,2.000,0.600,1,2.800,1.400,6,2.700,2
0,1 _ _,1,0.700,1.700,1.200,Top,2.100,1.600,0.500,0,2.300,1.100,6,2.100,0
0,1 _ _,1,0.600,1.300,0.900,Top,1.700,1.300,0.400,0,1.900,0.900,6,1.800,1
0,1 _ _,1,0.500,0.800,0.500,Top,1.100,1.000,0.300,0,1.300,0.700,6,1.300,2
1,_ 2 3,0,0.600,2.100,1.700,Top,2.300,1.300,0.400,1,2.200,0.900,6,1.800,0
1,_ 2 3,0,0.800,1.900,1.500,Top,2.300,1.600,0.500,1,2.300,1.100,6,2.100,1
1,_ 2 3,0,1.000,2.000,1.400,Top,2.700,2.200,0.700,1,3.200,1.600,6,2.900,2
1,_ 2 _,0,0.600,1.500,1.100,Top,1.800,1.300,0.400,0,1.900,0.900,6,1.700,0
1,_ 2 _,0,0.600,1.300,0.900,Top,1.700,1.400,0.400,0,2.000,1.000,6,1.800,1
1,_ 2 _,0,0.700,1.000,0.700,Top,1.400,1.400,0.400,0,1.800,1.000,6,1.800,2
0,_ _ 3,0,0.500,1.400,1.100,Top,1.700,1.000,0.300,1,1.700,0.700,6,1.400,0
0,_ _ 3,0,0.800,1.300,0.900,Top,1.600,1.600,0.500,1,2.100,1.100,6,2.000,1
0,_ _ 3,0,0.800,1.100,0.700,Top,1.600,1.600,0.500,1,2.100,1.200,6,2.100,2
0,_ _ _,0,0.500,1.000,0.700,Top,1.300,1.000,0.300,0,1.400,0.700,6,1.300,0
0,_ _ _,0,0.400,0.700,0.400,Top,0.900,0.800,0.200,0,1.100,0.500,6,1.000,1
0,_ _ _,0,0.300,0.400,0.200,Top,0.500,0.500,0.200,0,0.700,0.400,6,0.700,2
1,1 2 3,1,4.000,0.400,0.200,Bottom,0.700,3.500,3.300,1,1.200,4.100,7,2.300,0
1,1 2 3,1,4.200,0.600,0.300,Bottom,1.100,4.800,3.100,1,2.000,4.900,7,3.700,1
1,1 2 3,1,3.900,0.700,0.400,Bottom,1.300,5.900,2.600,1,2.400,5.200,7,4.500,2
1,1 2 _,1,3.000,0.400,0.200,Bottom,0.800,3.500,2.200,0,1.300,3.600,7,2.500,0
1,1 2 _,1,2.700,0.500,0.300,Bottom,0.900,4.000,1.900,0,1.600,3.600,7,3.000,1
1,1 2 _,1,2.000,0.500,0.200,Bottom,0.800,3.600,1.200,0,1.500,2.900,7,2.900,2
0,1 _ 3,1,2.800,0.300,0.100,Bottom,0.500,2.800,2.100,1,0.900,3.300,7,1.700,0
0,1 _ 3,1,2.600,0.500,0.300,Bottom,0.900,3.700,1.800,1,1.600,3.200,7,3.100,1
0,1 _ 3,1,2.100,0.500,0.300,Bottom,0.900,3.800,1.300,1,1.600,3.000,7,3.100,2
0,1 _ _,1,2.000,0.400,0.200,Bottom,0.700,3.000,1.400,0,1.200,2.600,7,2.300,0
0,1 _ _,1,1.500,0.300,0.200,Bottom,0.600,2.500,1.000,0,1.100,2.100,7,2.000,1
0,1 _ _,1,0.900,0.200,0.100,Bottom,0.400,1.800,0.500,0,0.800,1.400,7,1.500,2
1,_ 2 3,0,2.600,0.300,0.100,Bottom,0.500,2.600,2.000,1,0.900,2.900,7,1.700,0
1,_ 2 3,0,2.400,0.400,0.200,Bottom,0.700,3.000,1.700,1,1.300,3.000,7,2.500,1
1,_ 2 3,0,2.400,0.500,0.300,Bottom,1.000,4.300,1.500,1,1.700,3.600,7,3.300,2
1,_ 2 _,0,1.800,0.300,0.100,Bottom,0.500,2.400,1.300,0,0.900,2.300,7,1.800,0
1,_ 2 _,0,1.500,0.300,0.200,Bottom,0.600,2.600,1.000,0,1.100,2.100,7,2.100,1
1,_ 2 _,0,1.100,0.400,0.200,Bottom,0.700,2.600,0.700,0,1.100,1.800,7,2.200,2
0,_ _ 3,0,1.800,0.200,0.100,Bottom,0.400,2.000,1.300,1,0.800,2.200,7,1.500,0
0,_ _ 3,0,1.500,0.400,0.200,Bottom,0.700,2.900,1.000,1,1.300,2.100,7,2.500,1
0,_ _ 3,0,1.300,0.400,0.200,Bottom,0.800,3.000,0.800,1,1.400,2.000,7,2.600,2
0,_ _ _,0,1.200,0.200,0.100,Bottom,0.400,1.900,0.800,0,0.800,1.600,7,1.500,0
0,_ _ _,0,0.800,0.200,0.100,Bottom,0.300,1.400,0.500,0,0.600,1.100,7,1.200,1
0,_ _ _,0,0.400,0.100,0.100,Bottom,0.200,1.000,0.200,0,0.400,0.700,7,0.800,2
1,1 2 3,1,0.600,3.600,2.800,Top,3.900,1.700,0.400,1,3.500,1.100,7,2.600,0
1,1 2 3,1,1.000,3.600,2.600,Top,4.400,2.600,0.600,1,4.500,1.600,7,3.900,1
1,1 2 3,1,1.200,3.300,2.100,Top,4.500,3.100,0.700,1,5.400,2.000,7,4.700,2
1,1 2 _,1,0.700,2.600,1.900,Top,3.200,1.800,0.400,0,3.400,1.100,7,2.700,0
1,1 2 _,1,0.800,2.300,1.600,Top,3.100,2.100,0.500,0,3.600,1.300,7,3.200,1
1,1 2 _,1,0.800,1.700,1.000,Top,2.500,1.900,0.400,0,3.200,1.200,7,2.900,2
0,1 _ 3,1,0.500,2.500,1.800,Top,3.000,1.300,0.300,1,2.800,0.800,7,2.000,0
0,1 _ 3,1,0.800,2.200,1.500,Top,2.900,2.000,0.500,1,3.300,1.300,7,3.100,1
0,1 _ 3,1,0.800,1.700,1.100,Top,2.600,2.100,0.500,1,3.400,1.400,7,3.100,2
0,1 _ _,1,0.600,1.700,1.200,Top,2.300,1.600,0.400,0,2.700,1.000,7,2.400,0
0,1 _ _,1,0.500,1.300,0.800,Top,1.800,1.400,0.300,0,2.300,0.900,7,2.000,1
0,1 _ _,1,0.400,0.700,0.400,Top,1.200,1.000,0.200,0,1.600,0.600,7,1.500,2
1,_ 2 3,0,0.500,2.300,1.700,Top,2.600,1.300,0.300,1,2.500,0.800,7,2.000,0
1,_ 2 3,0,0.700,2.100,1.400,Top,2.700,1.600,0.400,1,2.800,1.100,7,2.500,1
1,_ 2 3,0,0.900,2.000,1.200,Top,3.100,2.300,0.500,1,3.900,1.500,7,3.400,2
1,_ 2 _,0,0.500,1.500,1.100,Top,2.000,1.200,0.300,0,2.300,0.800,7,1.900,0
1,_ 2 _,0,0.600,1.300,0.800,Top,1.800,1.400,0.300,0,2.300,0.900,7,2.100,1
1,_ 2 _,0,0.600,0.900,0.600,Top,1.500,1.400,0.300,0,2.200,0.900,7,2.100,2
0,_ _ 3,0,0.400,1.500,1.100,Top,1.900,1.000,0.200,1,2.000,0.600,7,1.500,0
0,_ _ 3,0,0.700,1.300,0.800,Top,1.800,1.600,0.400,1,2.500,1.100,7,2.400,1
0,_ _ 3,0,0.700,1.100,0.600,Top,1.700,1.700,0.400,1,2.500,1.100,7,2.500,2
0,_ _ _,0,0.400,1.000,0.600,Top,1.400,1.000,0.200,0,1.700,0.700,7,1.500,0
0,_ _ _,0,0.300,0.600,0.400,Top,1.000,0.800,0.200,0,1.300,0.500,7,1.200,1
0,_ _ _,0,0.200,0.300,0.200,Top,0.600,0.500,0.100,0,0.800,0.400,7,0.800,2
1,1 2 3,1,4.600,0.200,0.100,Bottom,0.400,4.200,3.500,1,0.800,5.000,8,2.200,0
1,1 2 3,1,4.600,0.300,0.100,Bottom,0.700,6.200,3.100,1,1.400,5.900,8,4.400,1
1,1 2 3,1,4.000,0.400,0.200,Bottom,0.800,7.700,2.300,1,1.700,6.100,8,5.300,2
1,1 2 _,1,3.300,0.200,0.100,Bottom,0.400,4.400,2.200,0,0.900,4.200,8,2.800,0
1,1 2 _,1,2.900,0.300,0.100,Bottom,0.500,5.100,1.700,0,1.100,4.100,8,3.500,1
1,1 2 _,1,2.000,0.200,0.100,Bottom,0.500,4.700,1.000,0,1.100,3.300,8,3.500,2
0,1 _ 3,1,3.200,0.100,0.100,Bottom,0.300,3.300,2.200,1,0.600,4.100,8,1.800,0
0,1 _ 3,1,2.700,0.300,0.100,Bottom,0.600,4.900,1.700,1,1.200,3.900,8,3.800,1
0,1 _ 3,1,2.000,0.300,0.100,Bottom,0.600,5.100,1.000,1,1.200,3.400,8,3.800,2
0,1 _ _,1,2.100,0.200,0.100,Bottom,0.400,3.800,1.300,0,0.900,3.100,8,2.600,0
0,1 _ _,1,1.500,0.200,0.100,Bottom,0.400,3.400,0.800,0,0.800,2.400,8,2.400,1
0,1 _ _,1,0.800,0.100,0.100,Bottom,0.300,2.500,0.400,0,0.600,1.600,8,1.800,2
1,_ 2 3,0,3.000,0.100,0.100,Bottom,0.300,3.300,2.100,1,0.600,3.600,8,1.800,0
1,_ 2 3,0,2.600,0.200,0.100,Bottom,0.400,4.000,1.600,1,0.900,3.700,8,3.000,1
1,_ 2 3,0,2.300,0.300,0.100,Bottom,0.600,5.800,1.200,1,1.300,4.200,8,3.900,2
1,_ 2 _,0,1.900,0.100,0.100,Bottom,0.300,3.100,1.200,0,0.700,2.700,8,2.000,0
1,_ 2 _,0,1.500,0.200,0.100,Bottom,0.400,3.400,0.800,0,0.800,2.400,8,2.500,1
1,_ 2 _,0,1.000,0.200,0.100,Bottom,0.400,3.500,0.500,0,0.900,1.900,8,2.800,2
0,_ _ 3,0,1.900,0.100,0.100,Bottom,0.300,2.500,1.200,1,0.600,2.700,8,1.700,0
0,_ _ 3,0,1.500,0.200,0.100,Bottom,0.500,3.900,0.900,1,1.000,2.400,8,3.200,1
0,_ _ 3,0,1.100,0.200,0.100,Bottom,0.500,4.100,0.500,1,1.000,2.100,8,3.400,2
0,_ _ _,0,1.100,0.100,0.100,Bottom,0.300,2.500,0.700,0,0.600,1.800,8,1.800,0
0,_ _ _,0,0.700,0.100,0.000,Bottom,0.200,1.900,0.400,0,0.500,1.200,8,1.400,1
0,_ _ _,0,0.400,0.100,0.000,Bottom,0.200,1.300,0.200,0,0.300,0.700,8,1.100,2
1,1 2 3,1,0.400,4.000,3.000,Top,4.600,1.500,0.200,1,4.100,0.800,8,2.800,0
1,1 2 3,1,0.700,3.900,2.600,Top,5.200,2.400,0.400,1,5.600,1.400,8,4.600,1
1,1 2 3,1,0.900,3.300,1.900,Top,5.100,2.900,0.500,1,6.800,1.600,8,5.600,2
1,1 2 _,1,0.500,2.800,1.800,Top,3.700,1.600,0.300,0,4.100,0.900,8,3.100,0
1,1 2 _,1,0.600,2.400,1.400,Top,3.500,2.000,0.300,0,4.500,1.100,8,3.700,1
1,1 2 _,1,0.600,1.600,0.800,Top,2.700,1.800,0.300,0,4.000,1.000,8,3.500,2
0,1 _ 3,1,0.300,2.800,1.800,Top,3.600,1.100,0.200,1,3.300,0.600,8,2.100,0
0,1 _ 3,1,0.600,2.300,1.400,Top,3.300,2.000,0.300,1,4.200,1.100,8,3.800,1
0,1 _ 3,1,0.600,1.600,0.800,Top,2.800,2.000,0.300,1,4.300,1.100,8,3.800,2
0,1 _ _,1,0.400,1.700,1.000,Top,2.600,1.500,0.200,0,3.400,0.800,8,2.800,0
0,1 _ _,1,0.400,1.200,0.700,Top,2.000,1.300,0.200,0,2.900,0.700,8,2.400,1
0,1 _ _,1,0.300,0.700,0.300,Top,1.300,1.000,0.200,0,2.100,0.500,8,1.800,2
1,_ 2 3,0,0.300,2.600,1.700,Top,3.200,1.100,0.200,1,3.100,0.600,8,2.100,0
1,_ 2 3,0,0.500,2.200,1.300,Top,3.200,1.600,0.300,1,3.400,0.900,8,3.000,1
1,_ 2 3,0,0.700,1.900,1.000,Top,3.500,2.100,0.300,1,4.900,1.200,8,4.000,2
1,_ 2 _,0,0.400,1.600,1.000,Top,2.300,1.100,0.200,0,2.800,0.600,8,2.200,0
1,_ 2 _,0,0.400,1.200,0.700,Top,2.000,1.300,0.200,0,2.900,0.800,8,2.500,1
1,_ 2 _,0,0.400,0.800,0.400,Top,1.500,1.400,0.200,0,2.800,0.800,8,2.700,2
0,_ _ 3,0,0.300,1.600,1.000,Top,2.300,0.900,0.200,1,2.400,0.500,8,1.800,0
0,_ _ 3,0,0.500,1.300,0.700,Top,2.000,1.600,0.300,1,3.200,0.900,8,3.100,1
0,_ _ 3,0,0.500,0.900,0.400,Top,1.700,1.600,0.300,1,3.300,0.900,8,3.200,2
0,_ _ _,0,0.300,0.900,0.600,Top,1.500,1.000,0.200,0,2.200,0.600,8,1.900,0
0,_ _ _,0,0.200,0.600,0.300,Top,1.000,0.700,0.100,0,1.600,0.400,8,1.400,1
0,_ _ _,0,0.200,0.300,0.100,Top,0.600,0.500,0.100,0,1.100,0.300,8,1.000,2
1,1 2 3,1,5.400,0.000,0.000,Bottom,0.000,5.300,3.700,1,0.000,6.400,9,2.400,0
1,1 2 3,1,5.100,0.000,0.000,Bottom,0.000,8.600,3.000,1,0.000,7.300,9,5.400,1
1,1 2 3,1,3.900,0.000,0.000,Bottom,0.000,10.900,1.800,1,0.000,7.000,9,6.400,2
1,1 2 _,1,3.600,0.000,0.000,Bottom,0.000,6.000,2.000,0,0.000,5.200,9,3.200,0
1,1 2 _,1,2.900,0.000,0.000,Bottom,0.000,7.200,1.300,0,0.000,4.800,9,4.300,1
1,1 2 _,1,1.700,0.000,0.000,Bottom,0.000,6.800,0.600,0,0.000,3.700,9,4.400,2
0,1 _ 3,1,3.700,0.000,0.000,Bottom,0.000,4.300,2.100,1,0.000,5.500,9,2.100,0
0,1 _ 3,1,2.900,0.000,0.000,Bottom,0.000,7.100,1.400,1,0.000,4.900,9,5.000,1
0,1 _ 3,1,1.700,0.000,0.000,Bottom,0.000,7.400,0.600,1,0.000,3.700,9,5.000,2
0,1 _ _,1,2.000,0.000,0.000,Bottom,0.000,5.400,1.000,0,0.000,3.600,9,3.100,0
0,1 _ _,1,1.300,0.000,0.000,Bottom,0.000,4.800,0.600,0,0.000,2.800,9,3.000,1
0,1 _ _,1,0.500,0.000,0.000,Bottom,0.000,3.700,0.200,0,0.000,1.700,9,2.400,2
1,_ 2 3,0,3.500,0.000,0.000,Bottom,0.000,4.300,2.000,1,0.000,4.700,9,2.000,0
1,_ 2 3,0,2.800,0.000,0.000,Bottom,0.000,5.700,1.400,1,0.000,4.800,9,4.000,1
1,_ 2 3,0,1.800,0.000,0.000,Bottom,0.000,8.400,0.700,1,0.000,5.100,9,4.700,2
1,_ 2 _,0,1.900,0.000,0.000,Bottom,0.000,4.300,1.000,0,0.000,3.300,9,2.500,0
1,_ 2 _,0,1.300,0.000,0.000,Bottom,0.000,5.000,0.600,0,0.000,2.700,9,3.200,1
1,_ 2 _,0,0.600,0.000,0.000,Bottom,0.000,5.200,0.200,0,0.000,1.800,9,3.900,2
0,_ _ 3,0,2.000,0.000,0.000,Bottom,0.000,3.500,1.100,1,0.000,3.600,9,2.100,0
0,_ _ 3,0,1.400,0.000,0.000,Bottom,0.000,5.800,0.600,1,0.000,2.900,9,4.500,1
0,_ _ 3,0,0.700,0.000,0.000,Bottom,0.000,6.100,0.200,1,0.000,1.800,9,4.700,2
0,_ _ _,0,1.000,0.000,0.000,Bottom,0.000,3.600,0.500,0,0.000,2.000,9,2.300,0
0,_ _ _,0,0.600,0.000,0.000,Bottom,0.000,2.800,0.200,0,0.000,1.300,9,1.900,1
0,_ _ _,0,0.200,0.000,0.000,Bottom,0.000,1.900,0.100,0,0.000,0.600,9,1.500,2
1,1 2 3,1,0.200,4.600,3.100,Top,5.700,1.000,0.100,1,5.200,0.500,9,2.900,0
1,1 2 3,1,0.400,4.200,2.400,Top,6.200,1.800,0.200,1,7.300,0.800,9,5.700,1
1,1 2 3,1,0.500,3.100,1.400,Top,5.700,2.100,0.200,1,9.100,1.000,9,6.900,2
1,1 2 _,1,0.300,2.900,1.600,Top,4.400,1.200,0.100,0,5.300,0.600,9,3.600,0
1,1 2 _,1,0.300,2.300,1.100,Top,4.000,1.400,0.100,0,6.100,0.700,9,4.600,1
1,1 2 _,1,0.300,1.300,0.400,Top,2.900,1.400,0.100,0,5.500,0.700,9,4.500,2
0,1 _ 3,1,0.200,3.000,1.700,Top,4.600,0.800,0.100,1,4.200,0.400,9,2.300,0
0,1 _ 3,1,0.300,2.300,1.100,Top,4.000,1.500,0.100,1,5.700,0.700,9,5.000,1
0,1 _ 3,1,0.300,1.300,0.400,Top,2.900,1.500,0.200,1,5.900,0.700,9,5.000,2
0,1 _ _,1,0.200,1.600,0.800,Top,2.900,1.100,0.100,0,4.600,0.500,9,3.400,0
0,1 _ _,1,0.200,1.000,0.400,Top,2.200,1.000,0.100,0,3.900,0.500,9,3.100,1
0,1 _ _,1,0.200,0.400,0.100,Top,1.300,0.700,0.100,0,2.900,0.300,9,2.400,2
1,_ 2 3,0,0.200,2.900,1.600,Top,4.000,0.800,0.100,1,4.000,0.400,9,2.400,0
1,_ 2 3,0,0.300,2.300,1.100,Top,3.900,1.200,0.100,1,4.600,0.600,9,3.900,1
1,_ 2 3,0,0.300,1.400,0.500,Top,3.900,1.600,0.200,1,6.900,0.700,9,5.100,2
1,_ 2 _,0,0.200,1.500,0.800,Top,2.700,0.800,0.100,0,3.700,0.400,9,2.600,0
1,_ 2 _,0,0.200,1.000,0.500,Top,2.200,1.000,0.100,0,4.000,0.500,9,3.300,1
1,_ 2 _,0,0.200,0.500,0.200,Top,1.400,1.100,0.100,0,4.000,0.500,9,3.700,2
0,_ _ 3,0,0.200,1.600,0.800,Top,2.900,0.700,0.100,1,3.100,0.300,9,2.300,0
0,_ _ 3,0,0.300,1.100,0.500,Top,2.300,1.200,0.100,1,4.400,0.600,9,4.300,1
0,_ _ 3,0,0.300,0.500,0.200,Top,1.400,1.300,0.100,1,4.600,0.600,9,4.400,2
0,_ _ _,0,0.200,0.800,0.400,Top,1.600,0.700,0.100,0,2.900,0.300,9,2.400,0
0,_ _ _,0,0.100,0.500,0.200,Top,1.000,0.600,0.100,0,2.200,0.300,9,1.900,1
0,_ _ _,0,0.100,0.200,0.100,Top,0.500,0.400,0.000,0,1.500,0.200,9,1.400,2
