game_time_et,type,away_team_id,stadiumID,gameDate,gameID,local_gamE_time,gameday_sw,home_team_id,game_pk
01:05 PM,S,121,2504,2012/03/09,2012/03/09/gid_2012_03_09_nynmlb_atlmlb_1/,13:05,Y,144,332192
03:10 PM,S,133,4249,2012/03/09,2012/03/09/gid_2012_03_09_oakmlb_colmlb_1/,13:10,Y,115,332193
01:05 PM,S,143,2511,2012/03/09,2012/03/09/gid_2012_03_09_phimlb_detmlb_1/,13:05,Y,116,332194
07:05 PM,S,134,4309,2012/03/09,2012/03/09/gid_2012_03_09_pitmlb_bosmlb_1/,19:05,Y,111,332195
03:05 PM,S,135,2500,2012/03/09,2012/03/09/gid_2012_03_09_sdnmlb_anamlb_1/,13:05,Y,108,332196
01:05 PM,S,138,2519,2012/03/09,2012/03/09/gid_2012_03_09_slnmlb_minmlb_1/,13:05,Y,142,332197
01:05 PM,S,141,2514,2012/03/09,2012/03/09/gid_2012_03_09_tormlb_houmlb_1/,13:05,Y,117,332198
07:05 PM,S,120,2520,2012/03/09,2012/03/09/gid_2012_03_09_wasmlb_miamlb_1/,19:05,Y,146,332199
01:05 PM,S,110,2700,2012/03/10,2012/03/10/gid_2012_03_10_balmlb_phimlb_1/,13:05,Y,143,332200
03:05 PM,S,112,2518,2012/03/10,2012/03/10/gid_2012_03_10_chnmlb_milmlb_1/,13:05,Y,158,332202
03:05 PM,S,113,2524,2012/03/10,2012/03/10/gid_2012_03_10_cinmlb_oakmlb_1/,13:05,Y,133,332203
03:05 PM,S,115,2603,2012/03/10,2012/03/10/gid_2012_03_10_colmlb_kcamlb_1/,13:05,E,118,332204
01:05 PM,S,117,2536,2012/03/10,2012/03/10/gid_2012_03_10_houmlb_tormlb_1/,13:05,Y,141,332205
09:05 PM,S,119,3809,2012/03/10,2012/03/10/gid_2012_03_10_lanmlb_chamlb_1/,19:05,Y,145,332201
03:05 PM,S,119,2530,2012/03/10,2012/03/10/gid_2012_03_10_lanmlb_seamlb_1/,13:05,E,136,332206
03:05 PM,S,158,2532,2012/03/10,2012/03/10/gid_2012_03_10_milmlb_sfnmlb_1/,13:05,Y,137,332207
01:05 PM,S,142,2526,2012/03/10,2012/03/10/gid_2012_03_10_minmlb_pitmlb_1/,13:05,Y,134,332208
01:05 PM,S,147,2504,2012/03/10,2012/03/10/gid_2012_03_10_nyamlb_atlmlb_1/,13:05,Y,144,332209
01:05 PM,S,121,2513,2012/03/10,2012/03/10/gid_2012_03_10_nynmlb_wasmlb_1/,13:05,Y,120,332210
04:05 PM,S,135,3834,2012/03/10,2012/03/10/gid_2012_03_10_sdnmlb_clemlb_1/,14:05,Y,114,332211
09:10 PM,S,136,4249,2012/03/10,2012/03/10/gid_2012_03_10_seamlb_arimlb_1/,19:10,Y,109,332212
03:05 PM,S,137,2500,2012/03/10,2012/03/10/gid_2012_03_10_sfnmlb_anamlb_1/,13:05,Y,108,332213
01:05 PM,S,138,2520,2012/03/10,2012/03/10/gid_2012_03_10_slnmlb_miamlb_1/,13:05,Y,146,332214
07:05 PM,S,139,4309,2012/03/10,2012/03/10/gid_2012_03_10_tbamlb_bosmlb_1/,19:05,Y,111,332215
03:05 PM,S,140,3809,2012/03/10,2012/03/10/gid_2012_03_10_texmlb_chamlb_1/,13:05,Y,145,332216
01:05 PM,S,120,2511,2012/03/10,2012/03/10/gid_2012_03_10_wasmlb_detmlb_1/,13:05,Y,116,332217
04:05 PM,S,108,3834,2012/03/11,2012/03/11/gid_2012_03_11_anamlb_cinmlb_1/,13:05,Y,113,332218
04:05 PM,S,109,2530,2012/03/11,2012/03/11/gid_2012_03_11_arimlb_sdnmlb_1/,13:05,E,135,332219
01:05 PM,S,144,2536,2012/03/11,2012/03/11/gid_2012_03_11_atlmlb_tormlb_1/,13:05,Y,141,332220
01:05 PM,S,111,2508,2012/03/11,2012/03/11/gid_2012_03_11_bosmlb_balmlb_1/,13:05,Y,110,332221
04:10 PM,S,145,4249,2012/03/11,2012/03/11/gid_2012_03_11_chamlb_colmlb_1/,13:10,Y,115,332222
03:05 PM,S,112,3809,2012/03/11,2012/03/11/gid_2012_03_11_chnmlb_lanmlb_1/,12:05,Y,119,332223
04:05 PM,S,114,2500,2012/03/11,2012/03/11/gid_2012_03_11_clemlb_anamlb_1/,13:05,Y,108,332224
04:05 PM,S,114,2603,2012/03/11,2012/03/11/gid_2012_03_11_clemlb_texmlb_1/,13:05,E,140,332225
04:05 PM,S,115,2518,2012/03/11,2012/03/11/gid_2012_03_11_colmlb_milmlb_1/,13:05,Y,158,332226
01:05 PM,S,116,2514,2012/03/11,2012/03/11/gid_2012_03_11_detmlb_houmlb_1/,13:05,Y,117,332227
01:05 PM,S,116,2700,2012/03/11,2012/03/11/gid_2012_03_11_detmlb_phimlb_1/,13:05,Y,143,332228
