home_team_errors,note,home_team_hits,game_id,away_team_hits,away_team_runs,home_team_runs,away_team_errors
1,,4,2014/03/07/gid_2014_03_07_sfnmlb_kcamlb_1/,8,5,0,0
3,,9,2014/03/07/gid_2014_03_07_slnmlb_nynmlb_1/,11,5,5,0
1,,7,2014/03/07/gid_2014_03_07_tbamlb_tormlb_1/,12,6,3,1
0,,3,2014/03/07/gid_2014_03_07_texmlb_lanmlb_1/,6,1,2,0
0,,7,2014/03/08/gid_2014_03_08_arimlb_anamlb_1/,9,5,2,0
0,,11,2014/03/08/gid_2014_03_08_arimlb_chamlb_1/,10,6,4,1
0,,9,2014/03/08/gid_2014_03_08_atlmlb_wasmlb_1/,10,2,8,3
6,,3,2014/03/08/gid_2014_03_08_balmlb_bosmlb_1/,13,13,2,0
1,,13,2014/03/08/gid_2014_03_08_bosmlb_balmlb_1/,6,3,7,2
0,,6,2014/03/08/gid_2014_03_08_chnmlb_cinmlb_1/,9,9,0,0
0,,11,2014/03/08/gid_2014_03_08_clemlb_sdnmlb_1/,10,4,4,3
0,,12,2014/03/08/gid_2014_03_08_houmlb_phimlb_1/,5,3,11,2
2,One out when winning run scored.,12,2014/03/08/gid_2014_03_08_kcamlb_milmlb_1/,14,6,7,0
0,,8,2014/03/08/gid_2014_03_08_lanmlb_texmlb_1/,9,5,5,2
1,,18,2014/03/08/gid_2014_03_08_miamlb_atlmlb_1/,10,6,6,2
1,None out when winning run scored.,10,2014/03/08/gid_2014_03_08_minmlb_tormlb_1/,8,3,4,1
3,,12,2014/03/08/gid_2014_03_08_nyamlb_houmlb_1/,11,9,6,0
0,,5,2014/03/08/gid_2014_03_08_nynmlb_detmlb_1/,9,3,2,0
0,Two out when winning run scored.,15,2014/03/08/gid_2014_03_08_oakmlb_colmlb_1/,12,4,5,0
1,,12,2014/03/08/gid_2014_03_08_pitmlb_tbamlb_1/,14,10,5,0
1,,7,2014/03/08/gid_2014_03_08_seamlb_lanmlb_1/,10,8,5,3
2,,6,2014/03/08/gid_2014_03_08_seamlb_sfnmlb_1/,18,18,3,0
