stadiumID,sun_endCivilTwilight,venue_w_chan_loc,sunRise,sunSet,sun_upperTransit,gameID,name,location,sun_beginCivilTwilight
2518,6:25 a.m. S,USAZ0166,6:50 a.m. S,6:30 p.m. S,12:39 p.m. S,2012/03/06/gid_2012_03_06_oakmlb_milmlb_1/,Maryvale Baseball Park,"Phoenix, AZ",6:54 p.m. S
2536,6:27 a.m. S,USFL0119,6:50 a.m. S,6:35 p.m. S,12:42 p.m. S,2012/03/06/gid_2012_03_06_phimlb_tormlb_1/,Florida Auto Exchange Stadium,"Dunedin, FL",6:58 p.m. S
2603,6:26 a.m. S,USAZ0229,6:51 a.m. S,6:31 p.m. S,12:40 p.m. S,2012/03/06/gid_2012_03_06_sdnmlb_kcamlb_1/,Surprise Stadium,"Surprise, AZ",6:55 p.m. S
3809,6:25 a.m. S,USAZ0083,6:50 a.m. S,6:30 p.m. S,12:40 p.m. S,2012/03/06/gid_2012_03_06_sfnmlb_lanmlb_1/,Camelback Ranch,"Glendale, AZ",6:55 p.m. S
2856,6:16 a.m. S,USFL0419,6:40 a.m. S,6:25 p.m. S,12:32 p.m. S,2012/03/06/gid_2012_03_06_slnmlb_nynmlb_1/,Digital Domain Park,"Port St. Lucie, FL",6:49 p.m. S
4249,6:24 a.m. S,USAZ0207,6:49 a.m. S,6:29 p.m. S,12:39 p.m. S,2012/03/06/gid_2012_03_06_texmlb_arimlb_1/,Salt River Fields at Talking Stick,"Scottsdale, AZ",6:54 p.m. S
4169,6:16 a.m. S,USFL0316,6:39 a.m. S,6:26 p.m. S,12:32 p.m. S,2012/03/06/gid_2012_03_06_umibbc_miamlb_1/,Marlins Park,"Miami, FL",6:49 p.m. S
2504,6:21 a.m. S,USFL0372,6:44 a.m. S,6:28 p.m. S,12:36 p.m. S,2012/03/06/gid_2012_03_06_wasmlb_atlmlb_1/,Champion Stadium,"Lake Buena Vista, FL",6:52 p.m. S
2511,N/A,USFL0267,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_atlmlb_detmlb_1/,Joker Marchant Stadium,"Lakeland, FL",N/A
2536,N/A,USFL0119,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_bosmlb_tormlb_1/,Florida Auto Exchange Stadium,"Dunedin, FL",N/A
2603,N/A,USAZ0229,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_chnmlb_kcamlb_1/,Surprise Stadium,"Surprise, AZ",N/A
4249,N/A,USAZ0207,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_clemlb_arimlb_1/,Salt River Fields at Talking Stick,"Scottsdale, AZ",N/A
2532,N/A,USAZ0207,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_colmlb_sfnmlb_1/,Scottsdale Stadium,"Scottsdale, AZ",N/A
4169,N/A,USFL0316,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_fiubbc_miamlb_1/,Marlins Park,"Miami, FL",N/A
2700,N/A,USFL0084,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_houmlb_phimlb_1/,Bright House Field,"Clearwater, FL",N/A
2524,N/A,USAZ0166,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_lanmlb_oakmlb_1/,Phoenix Municipal Stadium,"Phoenix, AZ",N/A
3809,N/A,USAZ0083,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_milmlb_chamlb_1/,Camelback Ranch,"Glendale, AZ",N/A
2508,N/A,USFL0446,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_minmlb_balmlb_1/,Ed Smith Stadium,"Sarasota, FL",N/A
2520,N/A,USFL0237,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_nynmlb_miamlb_1/,Roger Dean Stadium,"Jupiter, FL",N/A
3834,N/A,USAZ0087,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_sdnmlb_cinmlb_1/,Goodyear Ballpark,"Goodyear, AZ",N/A
2500,N/A,USAZ0233,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_seamlb_anamlb_1/,Tempe Diablo Stadium,"Tempe, AZ",N/A
2513,N/A,USFL0579,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_slnmlb_wasmlb_1/,Space Coast Stadium,"Viera, FL",N/A
2523,N/A,USFL0481,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_tbamlb_nyamlb_1/,George M. Steinbrenner Field,"Tampa, FL",N/A
2530,N/A,USAZ0162,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_texmlb_sdnmlb_1/,Peoria Stadium,"Peoria, AZ",N/A
2526,N/A,USFL0047,N/A,N/A,N/A,2012/03/07/gid_2012_03_07_tormlb_pitmlb_1/,McKechnie Field,"Bradenton, FL",N/A
