home_team_code,venue_id,home_wins,away_team_code,status_ind,home_id,game_id,away_wins,game_pk,date,home_sname,home_sport_code,away_id,away_sname,away_loss,home_loss,away_fname,home_fname,venue_name
sdn,2530,0,cin,F,135,2014/03/02/gid_2014_03_02_cinmlb_sdnmlb_1/,3,396457,"March 2, 2014",San Diego,mlb,113,Cincinnati,2,4,Cincinnati Reds,San Diego Padres,Peoria Stadium
atl,2504,0,det,FT,144,2014/03/02/gid_2014_03_02_detmlb_atlmlb_1/,3,396131,"March 2, 2014",Atlanta,mlb,116,Detroit,2,5,Detroit Tigers,Atlanta Braves,Champion Stadium
chn,4629,0,kca,F,112,2014/03/02/gid_2014_03_02_kcamlb_chnmlb_1/,3,396184,"March 2, 2014",Chi Cubs,mlb,118,Kansas City,1,3,Kansas City Royals,Chicago Cubs,Cubs Park
was,2513,3,mia,F,120,2014/03/02/gid_2014_03_02_miamlb_wasmlb_1/,3,396566,"March 2, 2014",Washington,mlb,146,Miami,1,0,Miami Marlins,Washington Nationals,Space Coast Stadium
col,4249,1,mil,F,115,2014/03/02/gid_2014_03_02_milmlb_colmlb_1/,3,396244,"March 2, 2014",Colorado,mlb,158,Milwaukee,2,2,Milwaukee Brewers,Colorado Rockies,Salt River Fields at Talking Stick
tba,2534,1,min,F,139,2014/03/02/gid_2014_03_02_minmlb_tbamlb_1/,2,396518,"March 2, 2014",Tampa Bay,mlb,142,Minnesota,1,1,Minnesota Twins,Tampa Bay Rays,Charlotte Sports Park
tor,2536,3,nya,F,141,2014/03/02/gid_2014_03_02_nyamlb_tormlb_1/,3,396550,"March 2, 2014",Toronto,mlb,147,NY Yankees,2,2,New York Yankees,Toronto Blue Jays,Florida Auto Exchange Stadium
sln,2520,1,nyn,F,138,2014/03/02/gid_2014_03_02_nynmlb_slnmlb_1/,0,396504,"March 2, 2014",St. Louis,mlb,121,NY Mets,3,2,New York Mets,St. Louis Cardinals,Roger Dean Stadium
ana,2500,1,oak,F,108,2014/03/02/gid_2014_03_02_oakmlb_anamlb_1/,3,396306,"March 2, 2014",LA Angels,mlb,133,Oakland,1,2,Oakland Athletics,Los Angeles Angels,Tempe Diablo Stadium
phi,2700,1,pit,F,143,2014/03/02/gid_2014_03_02_pitmlb_phimlb_1/,3,396427,"March 2, 2014",Philadelphia,mlb,134,Pittsburgh,1,4,Pittsburgh Pirates,Philadelphia Phillies,Bright House Field
lan,3809,2,sdn,FT,119,2014/03/02/gid_2014_03_02_sdnmlb_lanmlb_1/,0,396322,"March 2, 2014",LA Dodgers,mlb,135,San Diego,4,2,San Diego Padres,Los Angeles Dodgers,Camelback Ranch
cle,3834,3,sea,F,114,2014/03/02/gid_2014_03_02_seamlb_clemlb_1/,3,396231,"March 2, 2014",Cleveland,mlb,136,Seattle,1,1,Seattle Mariners,Cleveland Indians,Goodyear Ballpark
ari,4249,4,ana,F,109,2014/03/03/gid_2014_03_03_anamlb_arimlb_1/,2,396118,"March 3, 2014",Arizona,mlb,108,LA Angels,2,4,Los Angeles Angels,Arizona Diamondbacks,Salt River Fields at Talking Stick
pit,2526,4,bos,F,134,2014/03/03/gid_2014_03_03_bosmlb_pitmlb_1/,1,396443,"March 3, 2014",Pittsburgh,mlb,111,Boston,3,1,Boston Red Sox,Pittsburgh Pirates,McKechnie Field
mil,2518,3,chn,F,158,2014/03/03/gid_2014_03_03_chnmlb_milmlb_1/,1,396347,"March 3, 2014",Milwaukee,mlb,112,Chi Cubs,3,3,Chicago Cubs,Milwaukee Brewers,Maryvale Baseball Park
tex,2603,1,cle,F,140,2014/03/03/gid_2014_03_03_clemlb_texmlb_1/,4,396533,"March 3, 2014",Texas,mlb,114,Cleveland,1,3,Cleveland Indians,Texas Rangers,Surprise Stadium
ari,4249,4,col,F,109,2014/03/03/gid_2014_03_03_colmlb_arimlb_1/,1,396119,"March 3, 2014",Arizona,mlb,115,Colorado,4,4,Colorado Rockies,Arizona Diamondbacks,Salt River Fields at Talking Stick
sea,2530,5,col,F,136,2014/03/03/gid_2014_03_03_colmlb_seamlb_1/,1,396490,"March 3, 2014",Seattle,mlb,115,Colorado,4,1,Colorado Rockies,Seattle Mariners,Peoria Stadium
mia,2520,3,hou,F,146,2014/03/03/gid_2014_03_03_houmlb_miamlb_1/,3,396333,"March 3, 2014",Miami,mlb,117,Houston,1,2,Houston Astros,Miami Marlins,Roger Dean Stadium
cha,3809,2,kca,F,145,2014/03/03/gid_2014_03_03_kcamlb_chamlb_1/,3,396201,"March 3, 2014",Chi White Sox,mlb,118,Kansas City,2,1,Kansas City Royals,Chicago White Sox,Camelback Ranch
oak,2524,4,lan,F,133,2014/03/03/gid_2014_03_03_lanmlb_oakmlb_1/,2,396413,"March 3, 2014",Oakland,mlb,119,LA Dodgers,3,1,Los Angeles Dodgers,Oakland Athletics,Phoenix Municipal Stadium
