gameID,gameDate,type,local_gamE_time,game_pk,game_time_et,gameday_sw,home_team_id,away_team_id,stadiumID
2012/03/07/gid_2012_03_07_atlmlb_detmlb_1/,2012/03/07,S,13:05,332152,"01:05 PM",Y,116,144,2511
2012/03/07/gid_2012_03_07_bosmlb_tormlb_1/,2012/03/07,S,13:05,332153,"01:05 PM",Y,141,111,2536
2012/03/07/gid_2012_03_07_chnmlb_kcamlb_1/,2012/03/07,S,13:05,332154,"03:05 PM",E,118,112,2603
2012/03/07/gid_2012_03_07_clemlb_arimlb_1/,2012/03/07,S,13:10,332155,"03:10 PM",Y,109,114,4249
2012/03/07/gid_2012_03_07_colmlb_sfnmlb_1/,2012/03/07,S,13:05,332156,"03:05 PM",Y,137,115,2532
2012/03/07/gid_2012_03_07_fiubbc_miamlb_1/,2012/03/07,E,19:10,335536,"07:10 PM",N,146,4468,4169
2012/03/07/gid_2012_03_07_houmlb_phimlb_1/,2012/03/07,S,13:05,332157,"01:05 PM",Y,143,117,2700
2012/03/07/gid_2012_03_07_lanmlb_oakmlb_1/,2012/03/07,S,13:05,332158,"03:05 PM",Y,133,119,2524
2012/03/07/gid_2012_03_07_milmlb_chamlb_1/,2012/03/07,S,13:05,332159,"03:05 PM",Y,145,158,3809
2012/03/07/gid_2012_03_07_minmlb_balmlb_1/,2012/03/07,S,13:05,332160,"01:05 PM",Y,110,142,2508
2012/03/07/gid_2012_03_07_nynmlb_miamlb_1/,2012/03/07,S,13:05,332161,"01:05 PM",Y,146,121,2520
2012/03/07/gid_2012_03_07_sdnmlb_cinmlb_1/,2012/03/07,S,13:05,332162,"03:05 PM",Y,113,135,3834
2012/03/07/gid_2012_03_07_seamlb_anamlb_1/,2012/03/07,S,13:05,332163,"03:05 PM",Y,108,136,2500
2012/03/07/gid_2012_03_07_slnmlb_wasmlb_1/,2012/03/07,S,13:05,332164,"01:05 PM",Y,120,138,2513
2012/03/07/gid_2012_03_07_tbamlb_nyamlb_1/,2012/03/07,S,13:05,332165,"01:05 PM",Y,147,139,2523
2012/03/07/gid_2012_03_07_texmlb_sdnmlb_1/,2012/03/07,S,13:05,332166,"03:05 PM",E,135,140,2530
2012/03/07/gid_2012_03_07_tormlb_pitmlb_1/,2012/03/07,S,13:05,332167,"01:05 PM",Y,134,141,2526
2012/03/08/gid_2012_03_08_anamlb_clemlb_1/,2012/03/08,S,13:05,332168,"03:05 PM",Y,114,108,3834
2012/03/08/gid_2012_03_08_atlmlb_balmlb_1/,2012/03/08,S,13:05,332169,"01:05 PM",Y,110,144,2508
2012/03/08/gid_2012_03_08_bosmlb_slnmlb_1/,2012/03/08,S,13:05,332170,"01:05 PM",Y,138,111,2520
2012/03/08/gid_2012_03_08_chamlb_texmlb_1/,2012/03/08,S,13:05,332171,"03:05 PM",E,140,145,2603
2012/03/08/gid_2012_03_08_cinmlb_milmlb_1/,2012/03/08,S,13:05,332172,"03:05 PM",Y,158,113,2518
2012/03/08/gid_2012_03_08_detmlb_tbamlb_1/,2012/03/08,S,13:05,332173,"01:05 PM",Y,139,116,2534
2012/03/08/gid_2012_03_08_houmlb_wasmlb_1/,2012/03/08,S,13:05,332174,"01:05 PM",Y,120,117,2513
2012/03/08/gid_2012_03_08_kcamlb_colmlb_1/,2012/03/08,S,13:10,332175,"03:10 PM",Y,115,118,4249
2012/03/08/gid_2012_03_08_miamlb_nynmlb_1/,2012/03/08,S,13:10,332176,"01:10 PM",Y,121,146,2856
2012/03/08/gid_2012_03_08_nyamlb_tormlb_1/,2012/03/08,S,13:05,332177,"01:05 PM",Y,141,147,2536
2012/03/08/gid_2012_03_08_oakmlb_lanmlb_1/,2012/03/08,S,13:05,332178,"03:05 PM",Y,119,133,3809
2012/03/08/gid_2012_03_08_pitmlb_phimlb_1/,2012/03/08,S,13:05,332179,"01:05 PM",Y,143,134,2700
2012/03/08/gid_2012_03_08_seamlb_chnmlb_1/,2012/03/08,S,13:05,332180,"03:05 PM",Y,112,136,2507
2012/03/08/gid_2012_03_08_sfnmlb_sdnmlb_1/,2012/03/08,S,13:05,332181,"03:05 PM",E,135,137,2530
2012/03/08/gid_2012_03_08_tbamlb_minmlb_1/,2012/03/08,S,13:05,332182,"01:05 PM",Y,142,139,2519
2012/03/09/gid_2012_03_09_arimlb_seamlb_1/,2012/03/09,S,13:05,332184,"03:05 PM",E,136,109,2530
2012/03/09/gid_2012_03_09_atlmlb_nyamlb_1/,2012/03/09,S,13:05,332185,"01:05 PM",Y,147,144,2523
2012/03/09/gid_2012_03_09_balmlb_tbamlb_1/,2012/03/09,S,13:05,332186,"01:05 PM",Y,139,110,2534
2012/03/09/gid_2012_03_09_chnmlb_chamlb_1/,2012/03/09,S,13:05,332187,"03:05 PM",Y,145,112,3809
2012/03/09/gid_2012_03_09_cinmlb_sfnmlb_1/,2012/03/09,S,13:05,332188,"03:05 PM",Y,137,113,2532
2012/03/09/gid_2012_03_09_clemlb_milmlb_1/,2012/03/09,S,13:05,332189,"03:05 PM",Y,158,114,2518
2012/03/09/gid_2012_03_09_kcamlb_cinmlb_1/,2012/03/09,S,13:05,332190,"03:05 PM",Y,113,118,3834
2012/03/09/gid_2012_03_09_lanmlb_texmlb_1/,2012/03/09,S,13:05,332191,"03:05 PM",E,140,119,2603
2012/03/09/gid_2012_03_09_nynmlb_atlmlb_1/,2012/03/09,S,13:05,332192,"01:05 PM",Y,144,121,2504
2012/03/09/gid_2012_03_09_oakmlb_colmlb_1/,2012/03/09,S,13:10,332193,"03:10 PM",Y,115,133,4249
2012/03/09/gid_2012_03_09_phimlb_detmlb_1/,2012/03/09,S,13:05,332194,"01:05 PM",Y,116,143,2511
2012/03/09/gid_2012_03_09_pitmlb_bosmlb_1/,2012/03/09,S,19:05,332195,"07:05 PM",Y,111,134,4309
2012/03/09/gid_2012_03_09_sdnmlb_anamlb_1/,2012/03/09,S,13:05,332196,"03:05 PM",Y,108,135,2500
2012/03/09/gid_2012_03_09_slnmlb_minmlb_1/,2012/03/09,S,13:05,332197,"01:05 PM",Y,142,138,2519
2012/03/09/gid_2012_03_09_tormlb_houmlb_1/,2012/03/09,S,13:05,332198,"01:05 PM",Y,117,141,2514
2012/03/09/gid_2012_03_09_wasmlb_miamlb_1/,2012/03/09,S,19:05,332199,"07:05 PM",Y,146,120,2520
